,1Salon,Area util_s1,Bloque_s1,Capacidad_s1,Ext_s1,Fijo/Movil_s1,Movil Express_s1,Tipo Mobiliario_s1
415,O_403,"57,8",O,50.0,5269.0,Fijo,No,Silla móvil y mesa fija
416,C_105,"86,7",C,60.0,nan,Fijo,si,Silla móvil y mesa fija
417,C_209,"88,1",C,57.0,nan,Fijo,si,Silla móvil y mesa fija
418,O_404,"57,8",O,50.0,5270.0,Fijo,No,Silla móvil y mesa fija
419,LL_301,"51,6",LL,52.0,5089.0,Movil,No,Pupitre universitario
420,O_203,"70,6",O,62.0,5258.0,Fijo,No,Silla móvil y mesa fija
421,C_209,"88,1",C,57.0,nan,Fijo,si,Silla móvil y mesa fija
422,O_305,"72,7",O,62.0,5265.0,Fijo,No,Silla móvil y mesa fija
423,O_403,"57,8",O,50.0,5269.0,Fijo,No,Silla móvil y mesa fija
424,R_112,"83,2",R,77.0,nan,Fijo,No,Silla y superficie abatible fijas
425,B_402,"186,1",B,99.0,nan,Fijo,No (es salas de computo también),Silla móvil y mesa fija
426,ML_617,"146,7",ML,94.0,1625.0,Fijo,SI,Silla móvil y mesa fija
427,SD_803,"140,0",Sd,82.0,1163.0,Fijo,Si,Silla móvil y mesa fija
428,SD_716,"140,4",Sd,65.0,1105.0,Fijo,Si,Silla móvil y mesa fija
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
433,,,,,,,,
434,ML_512,"92,2",ML,61.0,1621.0,Fijo,Si,Silla móvil y mesa fija
435,,,,,,,,
436,,,,,,,,
437,C_307,"89,7",C,60.0,nan,Movil,si,"Silla móvil, mesa móvil"
438,,,,,,,,
439,,,,,,,,
440,ML_603,"165,6",ML,117.0,1626.0,Fijo,Si,Silla móvil y mesa fija
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,,,,,,,,
445,B_203,"88,6",B,53.0,1441.0,Fijo,No,Silla móvil y mesa fija
446,,,,,,,,
447,R_113,"83,5",R,77.0,nan,Fijo,No,Silla y superficie abatible fijas
448,,,,,,,,
449,,,,,,,,
450,,,,,,,,
451,SD_206,"58,8",Sd,26.0,nan,Movil,Si,"Silla móvil, mesa móvil"
452,,,,,,,,
453,ML_512,"92,2",ML,61.0,1621.0,Fijo,Si,Silla móvil y mesa fija
454,,,,,,,,
455,,,,,,,,
456,C_207,"42,6",C,22.0,nan,Movil,si,"Silla móvil, mesa móvil"
457,AU_307,"29,4",Au,31.0,5625.0,Movil,No,Pupitre universitario
458,R_112,"83,2",R,77.0,nan,Fijo,No,Silla y superficie abatible fijas
459,AU_210,"21,4",Au,18.0,5617.0,Movil,No,Pupitre universitario
460,O_301,"64,2",O,56.0,5261.0,Fijo,No,Silla móvil y mesa fija
461,TX_602,"54,3",TX,30.0,nan,Movil,No,"Silla móvil, mesa móvil"
462,C_108,"40,2",C,22.0,nan,Movil,si,"Silla móvil, mesa móvil"
463,AU_108,"21,9",Au,17.0,5606.0,Movil,No,Pupitre universitario
464,TX_602,"54,3",TX,30.0,nan,Movil,No,"Silla móvil, mesa móvil"
465,C_211,"42,2",C,22.0,nan,Movil,si,"Silla móvil, mesa móvil"
466,AU_304,"37,1",Au,28.0,5622.0,Movil,No,Pupitre universitario
467,G_101,"120,6",G,84.0,5501.0,Fijo,No,Silla móvil y mesa fija
468,R_210,"172,8",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
469,ML_510,"98,1",ML,69.0,1617.0,Fijo,Si,Silla móvil y mesa fija
470,B_401,"159,2",B,81.0,nan,Fijo,No (es salas de computo también),Silla móvil y mesa fija
471,Y_101,"96,0",Y,60.0,nan,Movil,No,"Silla móvil, mesa móvil"
472,AU_205,"59,8",Au,40.0,5612.0,Movil,SI,"Silla móvil, mesa móvil"
473,AU_202,"37,9",Au,40.0,5609.0,Movil,SI,Pupitre universitario
